,EVID,I,StdI,Io,Io_std,Io_ini,Depi,Ndata,Mag,StdM,Depth,Hmin,Hmax,Hmin_ini,Hmax_ini,StdIo_inv,RegID,Poids_int,eqStd,Poids_int_norm,Poids_evt,Poids,Poids_evt_norm,poids_grp,Hypo,gamma,beta,intercept,X,C2,C1
0,1779,4.0,0.8789358520041862,5.125765624332489,0.5,4.5,22.531344149970092,23,4.38,0.25,10.9999999989,5.0,11.0,5.0,11.0,0.43502938463358687,-99,1.294451074611129,10.719187565898398,0.2436880825111878,16.0,0.008703145803970993,0.14285714285714285,0.03481258321588397,25.02506774331896,0,-2.95,1,8.125207022298504,1.4271938538415911,2.132745286782119
1,1779,4.5,0.5020458146424487,5.125765624332489,0.5,4.5,14.495696777880678,2,4.38,0.25,10.9999999989,5.0,11.0,5.0,11.0,0.43502938463358687,-99,3.9674667724657815,6.122771350782306,0.7468991213124718,16.0,0.026674968618302566,0.14285714285714285,0.10669987447321026,18.13057559564979,0,-2.95,1,8.212314196292281,1.4271938538415911,2.132745286782119
2,1779,4.5,4.47213595499958,5.125765624332489,0.5,,0.0,0,4.38,0.25,10.9999999989,5.0,11.0,5.0,11.0,0.43502938463358687,-99,0.04999999999999999,54.54057200252918,0.009412796176340422,16.0,0.00033617129201215796,0.14285714285714285,0.0013446851680486318,10.890020493704847,0,-2.95,1,7.559234656286785,1.4271938538415911,2.132745286782119
3,2019111102,3.0,0.8038380541113114,8.49999999915,0.25,8.0,70.716169089548,40,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,1.5476148056645371,17.432366743536253,0.052651078849226464,16.0,0.0032906924280766544,0.25,0.013162769712306618,70.72717045358537,0,-2.95,1,8.456279537294357,1.4271938538415911,2.132745286782119
4,2019111102,3.5,0.8566845868148714,8.49999999915,0.25,8.0,34.212348005723236,7,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,1.3625677117772377,18.578418655984244,0.04635563046283237,16.0,0.0028972269039270237,0.25,0.011588907615708095,34.235081798262016,0,-2.95,1,8.02669054111419,1.4271938538415911,2.132745286782119
5,2019111102,4.0,0.6134754214315937,8.49999999915,0.25,8.0,33.22867589874303,22,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,2.6570863279225647,13.304083428053415,0.09039617690952559,16.0,0.00564976105684535,0.25,0.0225990442273814,33.25208221529416,0,-2.95,1,8.489365594573197,1.4271938538415911,2.132745286782119
6,2019111102,4.5,0.5686414115323567,8.49999999915,0.25,8.0,27.02877421264227,31,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,3.0925948736740576,12.331794421394113,0.10521252184105899,16.0,0.006575782615066188,0.25,0.02630313046026475,27.057544328836865,0,-2.95,1,8.725250716963025,1.4271938538415911,2.132745286782119
7,2019111102,5.0,0.42474077658796816,8.49999999915,0.25,8.0,21.57007465412782,24,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,5.543091996454143,9.211105334645625,0.18858037071343767,16.0,0.011786273169589856,0.25,0.047145092678359424,21.60611464964545,0,-2.95,1,8.937001195027035,1.4271938538415911,2.132745286782119
8,2019111102,5.5,0.6254055840495436,8.49999999915,0.25,8.0,14.389841453926397,12,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,2.5566806868406147,13.562805902067229,0.08698029764411438,16.0,0.00543626860275715,0.25,0.0217450744110286,14.443808595315677,0,-2.95,1,8.921061087755199,1.4271938538415911,2.132745286782119
9,2019111102,6.0,0.6183347651264919,8.49999999915,0.25,8.0,11.335872600020203,27,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,2.615487629387366,13.40946517875444,0.08898095630774189,16.0,0.005561309769233869,0.25,0.022245239076935475,11.404300823499229,0,-2.95,1,9.11835256069039,1.4271938538415911,2.132745286782119
10,2019111102,7.0,0.4099186911246343,8.49999999915,0.25,8.0,3.3559606236040938,3,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,5.95120015869867,8.889667417668017,0.2024645329421151,16.0,0.012654033308882196,0.25,0.050616133235528785,3.58029906239096,0,-2.95,1,8.634061949096196,1.4271938538415911,2.132745286782119
11,2019111102,8.0,0.5020458146424487,8.49999999915,0.25,8.0,2.194709882092368,2,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,3.9674667724657815,10.887574578165813,0.13497635529474344,16.0,0.008436022205921467,0.25,0.03374408882368587,2.524444718255939,0,-2.95,1,9.18638930087974,1.4271938538415911,2.132745286782119
12,2019111102,8.0,3.1622776601683795,8.49999999915,0.25,,0.0,0,4.93,0.25,1.9999999958604893,0.5,2.0,0.5,2.0,0.21091169289054576,-99,0.09999999999999998,68.57847004754187,0.003402079035204007,16.0,0.00021262993970025046,0.25,0.0008505197588010018,1.247425215785063,0,-2.95,1,8.283242830306603,1.4271938538415911,2.132745286782119
13,250038,3.0,0.598114624831142,5.668390256661715,0.25,5.5,131.123216947621,1151,4.49,0.25,10.000000001,10.0,18.0,10.0,18.0,0.3183144373411641,-99,2.7953175846931253,10.994765840595775,0.23162533603945007,16.0,0.00827233342998036,0.14285714285714285,0.03308933371992144,132.15190135526345,0,-2.95,1,9.257166577169176,1.4271938538415911,2.132745286782119
