,EVID,I,StdI,Io,Io_std,Io_ini,Depi,Ndata,Mag,StdM,Depth,Hmin,Hmax,Hmin_ini,Hmax_ini,StdIo_inv,RegID,Poids_int,eqStd,Poids_int_norm,Poids_evt,Poids,Poids_evt_norm,poids_grp,Hypo,C1,C2,beta,gamma
0,408,3.0,0.879429088164879,5.666841326435971,0.5,5.0,24.396899094336106,89,3.92,0.25,7.796202617154551,6.0,12.0,6.0,12.0,0.3214036846959513,-99,1.2929994714271302,19.43821964963389,0.10586368829093935,16.0,0.0026465922072734837,0.1,0.010586368829093935,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
1,408,3.5,0.5503758437495415,5.666841326435971,0.5,5.0,29.181741166958062,5,3.92,0.25,7.796202617154551,6.0,12.0,6.0,12.0,0.3214036846959513,-99,3.3012717193119463,12.165081510984095,0.2702899792149136,16.0,0.006757249480372839,0.1,0.027028997921491354,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
2,408,4.0,0.7532988502803583,5.666841326435971,0.5,5.0,22.33837535188309,23,3.92,0.25,7.796202617154551,6.0,12.0,6.0,12.0,0.3214036846959513,-99,1.7622413634445986,16.650334530236723,0.14428263469217728,16.0,0.0036070658673044314,0.1,0.014428263469217726,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
3,408,4.5,0.5609489897986455,5.666841326435971,0.5,5.0,15.247953555573028,4,3.92,0.25,7.796202617154551,6.0,12.0,6.0,12.0,0.3214036846959513,-99,3.177995365280992,12.398782144788477,0.260196789074339,16.0,0.006504919726858474,0.1,0.026019678907433896,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
4,408,5.0,0.6167076986237264,5.666841326435971,0.5,5.0,15.400690254143584,6,3.92,0.25,7.796202617154551,6.0,12.0,6.0,12.0,0.3214036846959513,-99,2.6293067728182122,13.631229472387787,0.21527318360900802,16.0,0.0053818295902252,0.1,0.0215273183609008,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
5,408,5.0,4.47213595499958,5.666841326435971,0.5,,0.0,0,3.92,0.25,7.796202617154551,6.0,12.0,6.0,12.0,0.3214036846959513,-99,0.04999999999999999,98.84863051062624,0.004093725118622583,16.0,0.00010234312796556457,0.1,0.0004093725118622583,9.0,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
6,503,3.0,1.0064692821594639,5.0599513273238435,0.5,5.0,15.179397059942236,34,3.62,0.25,7.000003190137346,7.0,13.0,7.0,13.0,0.4247196369930545,-99,0.9871859162068185,16.209009995883406,0.15224639264218295,16.0,0.003806159816054574,0.1,0.015224639264218296,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
7,503,3.5,0.71,5.0599513273238435,0.5,5.0,22.997142242725225,1,3.62,0.25,7.000003190137346,7.0,13.0,7.0,13.0,0.4247196369930545,-99,1.9837333862328903,11.43442457815006,0.30593654858680785,16.0,0.007648413714670197,0.1,0.030593654858680788,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
8,503,4.0,1.0088665025896486,5.0599513273238435,0.5,5.0,12.28144308508501,24,3.62,0.25,7.000003190137346,7.0,13.0,7.0,13.0,0.4247196369930545,-99,0.9825000818455594,16.24761680744136,0.1515237310175503,16.0,0.0037880932754387575,0.1,0.01515237310175503,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
9,503,4.5,1.4185030656111268,5.0599513273238435,0.5,5.0,6.912337152803264,2,3.62,0.25,7.000003190137346,7.0,13.0,7.0,13.0,0.4247196369930545,-99,0.4969806074525904,22.844741292401512,0.0766456484595207,16.0,0.0019161412114880175,0.1,0.00766456484595207,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
10,503,5.0,0.71,5.0599513273238435,0.5,5.0,2.264818560854333,1,3.62,0.25,7.000003190137346,7.0,13.0,7.0,13.0,0.4247196369930545,-99,1.9837333862328903,11.43442457815006,0.30593654858680785,16.0,0.007648413714670197,0.1,0.030593654858680788,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
11,503,5.0,4.47213595499958,5.0599513273238435,0.5,,0.0,0,3.62,0.25,7.000003190137346,7.0,13.0,7.0,13.0,0.4247196369930545,-99,0.04999999999999999,72.02295955024759,0.0077111307071304905,16.0,0.00019277826767826226,0.1,0.000771113070713049,10.0,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
12,572,3.0,0.553795878347148,4.664711432492982,0.5,4.5,25.277662193582515,48,3.72,0.25,15.932351804290429,10.0,16.0,10.0,16.0,0.4620870226110852,-99,3.2606228047466366,13.90764606102029,0.20680104640997976,16.0,0.0051700261602494945,0.1,0.020680104640997978,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
13,572,3.5,0.6809462268336584,4.664711432492982,0.5,4.5,14.42368560834934,8,3.72,0.25,15.932351804290429,10.0,16.0,10.0,16.0,0.4620870226110852,-99,2.1566236549369564,17.10081183279093,0.13678123943199652,16.0,0.003419530985799913,0.1,0.013678123943199652,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
14,572,4.0,0.6502870154377233,4.664711432492982,0.5,4.5,18.961291288140472,26,3.72,0.25,15.932351804290429,10.0,16.0,10.0,16.0,0.4620870226110852,-99,2.3647750536416776,16.330857636170172,0.14998298941705254,16.0,0.003749574735426314,0.1,0.014998298941705256,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
15,572,4.5,0.355,4.664711432492982,0.5,4.5,22.688264226610148,4,3.72,0.25,15.932351804290429,10.0,16.0,10.0,16.0,0.4620870226110852,-99,7.934933544931561,8.915224082919773,0.5032635353886037,16.0,0.012581588384715093,0.1,0.05032635353886037,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
16,572,4.5,4.47213595499958,4.664711432492982,0.5,,0.0,0,3.72,0.25,15.932351804290429,10.0,16.0,10.0,16.0,0.4620870226110852,-99,0.04999999999999999,112.31012441719342,0.0031711893523674382,16.0,7.927973380918597e-05,0.1,0.00031711893523674387,13.0,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
17,738,3.0,1.06668984485626,6.05669297322721,0.5,5.5,59.25603084408886,48,4.48,0.25,8.008131406345122,8.0,10.0,8.0,10.0,0.3625924678457847,-99,0.8788680547655201,19.66225372978794,0.07242548949510602,16.0,0.0025866246248252155,0.14285714285714285,0.010346498499300862,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
18,738,3.5,1.2747953200062598,6.05669297322721,0.5,5.5,33.783197514193475,5,4.48,0.25,8.008131406345122,8.0,10.0,8.0,10.0,0.3625924678457847,-99,0.6153455710795833,23.498254114237803,0.05070920936587536,16.0,0.001811043191638406,0.14285714285714285,0.007244172766553624,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
19,738,4.0,1.219957931199588,6.05669297322721,0.5,5.5,43.77575854031462,16,4.48,0.25,8.008131406345122,8.0,10.0,8.0,10.0,0.3625924678457847,-99,0.6719087401329582,22.48743859199843,0.05537044967819742,16.0,0.0019775160599356223,0.14285714285714285,0.00791006423974249,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
20,738,4.5,0.5020458146424487,6.05669297322721,0.5,5.5,14.613590443469349,2,4.48,0.25,8.008131406345122,8.0,10.0,8.0,10.0,0.3625924678457847,-99,3.9674667724657815,9.254191590066284,0.3269497867095258,16.0,0.01167677809676878,0.14285714285714285,0.04670711238707512,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
21,738,5.5,0.4099186911246343,6.05669297322721,0.5,5.5,10.793454785023133,3,4.48,0.25,8.008131406345122,8.0,10.0,8.0,10.0,0.3625924678457847,-99,5.95120015869867,7.556015792539239,0.4904246800642885,16.0,0.017515167145153165,0.14285714285714285,0.07006066858061266,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
