No comments

Weigth	C1	C2	Beta	Gamma

0.11111	1.60443	1.47952	-2.71329	0.00000
0.11111	1.99236	1.38249	-2.69335	0.00000
0.11111	2.39107	1.29653	-2.71662	0.00000
0.11111	1.63061	1.47267	-2.69012	0.00000
0.11111	2.02446	1.43347	-2.83557	0.00000
0.11111	2.44167	1.30344	-2.75124	0.00000
0.11111	1.80464	1.45999	-2.75802	0.00000
0.11111	2.16740	1.37257	-2.74575	0.00000
0.11111	2.50118	1.36655	-2.97102	0.00000
