,beta_ini,C1_ini,C2_ini,ponderation,C1,C2,beta,std_C1,std_C2,std_beta,gamma,proba
0,-2.5,1.5,1.5,IStdI_evtStdM_gMclass,1.5320924804365545,1.417090369329456,-2.263558963094104,0.5625106506902471,0.09790889622124219,0.20529150312691966,0,0.1111111111111111
1,-2.5,2,1.5,IStdI_evtStdM_gMclass,2.0766590859877136,1.101475094904013,-1.6385598634696938,0.5531031768276481,0.09746187038502394,0.19974774702528264,0,0.1111111111111111
2,-2.5,2.5,1.5,IStdI_evtStdM_gMclass,2.477338648733495,0.9953554677180411,-1.6118755037920922,0.5467126608988809,0.09716415808691027,0.1958639656450191,0,0.1111111111111111
3,-3,1.5,1.5,IStdI_evtStdM_gMclass,1.7738664257637546,1.1369772404661918,-1.5738866528725803,0.5864676708496792,0.10033706871188122,0.22254285175951036,0,0.1111111111111111
4,-3,2,1.5,IStdI_evtStdM_gMclass,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0.5853435088790901,0.10040561227881022,0.22137696050057187,0,0.1111111111111111
5,-3,2.5,1.5,IStdI_evtStdM_gMclass,2.5258714122101225,1.1345542235629995,-2.0238035641378223,0.5840871214230583,0.10038392150124403,0.22024309680575674,0,0.1111111111111111
6,-3.5,1.5,1.5,IStdI_evtStdM_gMclass,1.8092589108831492,1.1451526523019955,-1.591991499461357,0.6169539957466391,0.10214404851145105,0.23637440984453326,0,0.1111111111111111
7,-3.5,2,1.5,IStdI_evtStdM_gMclass,2.226994521930342,1.0586680459630262,-1.6430216297007698,0.6187234491570209,0.10223784055426303,0.23645518998816123,0,0.1111111111111111
8,-3.5,2.5,1.5,IStdI_evtStdM_gMclass,2.6052871141530347,1.011890198196281,-1.7693920225319744,0.6198975878095816,0.1022972874340133,0.23666922670084764,0,0.1111111111111111
