No comments

Weigth	C1	C2	Beta	Gamma

0.11111	1.53209	1.41709	-2.26356	0.00000
0.11111	2.07666	1.10148	-1.63856	0.00000
0.11111	2.47734	0.99536	-1.61188	0.00000
0.11111	1.77387	1.13698	-1.57389	0.00000
0.11111	2.12006	1.13083	-1.80568	0.00000
0.11111	2.52587	1.13455	-2.02380	0.00000
0.11111	1.80926	1.14515	-1.59199	0.00000
0.11111	2.22699	1.05867	-1.64302	0.00000
0.11111	2.60529	1.01189	-1.76939	0.00000
