No comments

Weigth	C1	C2	Beta	Gamma

0.01335	3.48173	1.35890	-3.35000	0.00000
0.01335	3.46721	1.37643	-3.35000	0.00000
0.35665	3.38828	1.34626	-3.25000	0.00000
0.35665	3.38225	1.36145	-3.25000	0.00000
0.07335	3.30093	1.33234	-3.15000	0.00000
0.07335	3.30457	1.34487	-3.15000	0.00000
0.05335	3.21491	1.31814	-3.05000	0.00000
0.05335	3.22992	1.32761	-3.05000	0.00000
0.00335	3.12935	1.30389	-2.95000	0.00000
0.00335	3.15538	1.31032	-2.95000	0.00000
