;Beta values during inversion
0;-3.0
1;-3.0659111272544592
2;-3.1168399538635403
3;-3.1570590615729452
4;-3.1886428826593454
5;-3.213723752423889
6;-3.233663146482084
7;-3.2494765892171413
8;-3.2620100306084963
9;-3.271865920888592
10;-3.2795704735356783
11;-3.2855274364327784
12;-3.290040686266324
13;-3.2933532657505276
14;-3.2956857431598454
15;-3.2972297628765936
16;-3.29813743678502
