,EVID,I,StdI,Io,Io_std,Io_ini,Depi,Ndata,Mag,StdM,Depth,Hmin,Hmax,Hmin_ini,Hmax_ini,StdIo_inv,RegID,Poids_int,eqStd,Poids_int_norm,Poids_evt,Poids,Poids_evt_norm,poids_grp,Hypo,C1,C2,beta,gamma
0,408,3.0,0.975975444262608,5.999999999296361,0.5,5.0,27.74468146098233,89,3.92,0.25,7.956228515254961,6.0,12.0,6.0,12.0,0.427106783509685,-99,1.049837830297084,18.65364869299583,0.11495620140103649,16.0,0.0028739050350259127,0.1,0.01149562014010365,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
1,408,3.5,1.754396576439825,5.999999999296361,0.5,5.0,15.964563023954335,5,3.92,0.25,7.956228515254961,6.0,12.0,6.0,12.0,0.427106783509685,-99,0.3248960696744183,33.53147622461848,0.03557579746324117,16.0,0.0008893949365810294,0.1,0.0035575797463241175,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
2,408,4.0,1.1123351668630903,5.999999999296361,0.5,5.0,25.8571965528896,23,3.92,0.25,7.956228515254961,6.0,12.0,6.0,12.0,0.427106783509685,-99,0.8082182715161567,21.259868323025117,0.08849909930385841,16.0,0.0022124774825964606,0.1,0.008849909930385843,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
3,408,4.5,0.5918961738535328,5.999999999296361,0.5,5.0,31.480778647619776,4,3.92,0.25,7.956228515254961,6.0,12.0,6.0,12.0,0.427106783509685,-99,2.8543612362652375,11.3128084878551,0.3125497249937779,16.0,0.00781374312484445,0.1,0.0312549724993778,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
4,408,5.0,0.4971993710018899,5.999999999296361,0.5,5.0,20.157588905511417,6,3.92,0.25,7.956228515254961,6.0,12.0,6.0,12.0,0.427106783509685,-99,4.045189384633373,9.502884987086027,0.4429442264179575,16.0,0.01107360566044894,0.1,0.04429442264179576,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
5,408,5.0,4.47213595499958,5.999999999296361,0.5,,0.0,0,3.92,0.25,7.956228515254961,6.0,12.0,6.0,12.0,0.427106783509685,-99,0.04999999999999999,85.47515565302596,0.005474950420128509,16.0,0.00013687376050321276,0.1,0.000547495042012851,9.0,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
6,503,3.0,0.2948137999504461,5.9999999994,0.5,5.0,66.03774986927421,34,3.62,0.25,12.26363509579647,7.0,13.0,7.0,13.0,0.31004297409446147,-99,11.505470490244916,11.14783639839625,0.32186875359275136,16.0,0.008046718839818784,0.1,0.032186875359275134,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
7,503,3.5,0.71,5.9999999994,0.5,5.0,84.0079822012813,1,3.62,0.25,12.26363509579647,7.0,13.0,7.0,13.0,0.31004297409446147,-99,1.9837333862328903,26.847331584178644,0.05549549607975368,16.0,0.0013873874019938422,0.1,0.005549549607975369,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
8,503,4.0,0.24802795126657823,5.9999999994,0.5,5.0,65.91555159813126,24,3.62,0.25,12.26363509579647,7.0,13.0,7.0,13.0,0.31004297409446147,-99,16.255440697556928,9.378716408166659,0.4547504981095438,16.0,0.011368762452738596,0.1,0.045475049810954384,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
9,503,4.5,0.5020458146424487,5.9999999994,0.5,5.0,74.15747509658223,2,3.62,0.25,12.26363509579647,7.0,13.0,7.0,13.0,0.31004297409446147,-99,3.9674667724657815,18.983930219936493,0.11099099215950739,16.0,0.002774774803987685,0.1,0.01109909921595074,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
10,503,5.0,0.71,5.9999999994,0.5,5.0,66.39010218242034,1,3.62,0.25,12.26363509579647,7.0,13.0,7.0,13.0,0.31004297409446147,-99,1.9837333862328903,26.847331584178644,0.05549549607975368,16.0,0.0013873874019938422,0.1,0.005549549607975369,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
11,503,5.0,4.47213595499958,5.9999999994,0.5,,0.0,0,3.62,0.25,12.26363509579647,7.0,13.0,7.0,13.0,0.31004297409446147,-99,0.04999999999999999,169.1055167231002,0.0013987639786901913,16.0,3.496909946725478e-05,0.1,0.00013987639786901913,10.0,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
12,572,3.0,0.553795878347148,4.564750237553505,0.5,4.5,25.277662193582515,48,3.72,0.25,15.994218092095434,10.0,16.0,10.0,16.0,0.4597383556458158,-99,3.2606228047466366,13.90764606102029,0.20680104640997976,16.0,0.0051700261602494945,0.1,0.020680104640997978,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
13,572,3.5,0.6809462268336584,4.564750237553505,0.5,4.5,14.42368560834934,8,3.72,0.25,15.994218092095434,10.0,16.0,10.0,16.0,0.4597383556458158,-99,2.1566236549369564,17.10081183279093,0.13678123943199652,16.0,0.003419530985799913,0.1,0.013678123943199652,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
14,572,4.0,0.6502870154377233,4.564750237553505,0.5,4.5,18.961291288140472,26,3.72,0.25,15.994218092095434,10.0,16.0,10.0,16.0,0.4597383556458158,-99,2.3647750536416776,16.330857636170172,0.14998298941705254,16.0,0.003749574735426314,0.1,0.014998298941705256,,2.1200616418016778,1.1308267423868095,-1.8056765598666877,0
