;Beta values during inversion
0;-2.0
1;-2.192896426348181
2;-2.3653368204082845
3;-2.5194695237480187
4;-2.6574181792331464
5;-2.7779474636910733
6;-2.8814030973052747
7;-2.9687167969247534
8;-3.0381735262553193
9;-3.0934854509518246
10;-3.137829627879856
11;-3.173254200761871
12;-3.2014369349428797
13;-3.223779012279892
14;-3.2414191107587036
15;-3.2552691900366977
16;-3.2660707182479185
17;-3.274429270813075
18;-3.2808365438812293
19;-3.285689716495588
20;-3.2893057023437393
21;-3.291934945483861
22;-3.2937780506778136
23;-3.294995904610998
24;-3.295716474281682
