;Beta values during inversion
0;-2.0
1;-2.1749632239875267
2;-2.3310769494749777
3;-2.4706154787452848
4;-2.597535613165677
5;-2.7106827636494555
6;-2.8094753891321913
7;-2.8942195214707667
8;-2.966192988572273
9;-3.025317622698424
10;-3.073034900930414
11;-3.111823790621528
12;-3.1432371199370848
13;-3.16852980282551
14;-3.1887902002752893
15;-3.204928918272976
16;-3.2177059851796805
17;-3.2277467900854893
18;-3.235569948697432
19;-3.2416020726013985
20;-3.246190364864736
21;-3.2496131683721354
22;-3.252095288314543
23;-3.253819228564616
24;-3.2549315621404658
