;Beta values during inversion
0;-2.0
1;-2.1513625983938205
2;-2.285041692109416
3;-2.4002695274224752
4;-2.5047741016412153
5;-2.597104470272095
6;-2.6775901868337217
7;-2.7465786214298276
8;-2.805072606116297
9;-2.854250574830849
10;-2.895371600998228
11;-2.929604376032852
12;-2.95767604610203
13;-2.9806664122381656
14;-2.9993527773543973
15;-3.0143695344285195
16;-3.0262680505044397
17;-3.035567435043065
18;-3.0427573701254333
19;-3.0482608879791204
20;-3.0524118114565075
21;-3.05547695789097
22;-3.0576701848172
23;-3.059161505771013
24;-3.0600840205929134
