;Beta values during inversion
0;-2.0
1;-2.179735306812238
2;-2.338783517949877
3;-2.4800715061123046
4;-2.6077156918358133
5;-2.720297643078259
6;-2.817876574841871
7;-2.9007089177543666
8;-2.9702604103776187
9;-3.026428394975696
10;-3.0712277166851667
11;-3.107248166676034
12;-3.136082837279253
13;-3.1590184983187743
14;-3.17715142633567
15;-3.1913982052479204
16;-3.202513097080931
17;-3.2111132143489507
18;-3.2177032777533077
19;-3.222692875889763
20;-3.226409398337787
21;-3.2291113400390405
22;-3.2310051371071347
23;-3.2322552615362463
24;-3.2329907133957505
