;Beta values during inversion
0;-2.0
1;-2.1972171656594806
2;-2.372598210337667
3;-2.5291480056331967
4;-2.66862057488434
5;-2.7898821903608537
6;-2.8933443209987866
7;-2.979762007167196
8;-3.0469972785683987
9;-3.100038921503771
10;-3.142116023085866
11;-3.1753664543458275
12;-3.201545530372421
13;-3.2220916694983015
14;-3.2381411845940153
15;-3.250601685940456
16;-3.260203528774218
17;-3.267537117266079
18;-3.273074609122954
19;-3.2771927785370547
20;-3.2801915682168574
21;-3.2823090886961386
22;-3.2837337139263494
23;-3.2846138108131626
