EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
640001;3.5;0.75888847551028;7.936413082421617;0.25;7.5;112.98588536070258;117;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;1.7363772402778561;33.249303784763214;0.009045548116217446;0.1;0.0009045548116217447
640001;4.0;0.7466429555514904;7.936413082421617;0.25;7.5;84.51383899134498;175;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;1.7938001503646988;32.7127888339486;0.009344689157757845;0.1;0.0009344689157757846
640001;4.5;0.5896763606323197;7.936413082421617;0.25;7.5;53.44474981195736;187;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;2.875891944716045;25.835585968246786;0.014981778359873209;0.1;0.0014981778359873209
640001;5.0;0.6929776596608875;7.936413082421617;0.25;7.5;45.3434007674415;146;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;2.0823874227764905;30.361542526556637;0.010848066418053592;0.1;0.0010848066418053593
640001;5.5;0.6641406945582081;7.936413082421617;0.25;7.5;33.89907114396737;87;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;2.267147707993542;29.098103900367335;0.011810563513229445;0.1;0.0011810563513229445
640001;6.0;0.6355362449743679;7.936413082421617;0.25;7.5;27.23905822697766;88;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;2.475821629326551;27.84485251429306;0.012897637192976283;0.1;0.0012897637192976284
640001;6.5;0.5459016161211421;7.936413082421617;0.25;7.5;21.577181000593825;36;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;3.35560814561321;23.917675991588002;0.01748082976223435;0.1;0.001748082976223435
640001;7.0;0.5966993788969933;7.936413082421617;0.25;7.5;8.82551608219391;30;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;2.808593124978479;26.143286605828695;0.014631189387626954;0.1;0.0014631189387626954
640001;7.5;0.5020458146424487;7.936413082421617;0.25;7.5;6.800606549156702;2;5.14;0.25;5.849227211854407;2.0;7.0;2.0;7.0;0.25;-99;3.9674667724657815;22.400981745729126;0.01992810008557188;0.1;0.001992810008557188
740150;3.0;0.5706612440568947;6.112835739485355;0.25;6.0;83.08090352257744;190;4.19;0.25;8.921510813617614;7.0;13.0;7.0;13.0;0.25;-99;3.0707413866315525;25.00247358359254;0.015996834282849256;0.1;0.0015996834282849257
740150;3.5;0.7080587542157143;6.112835739485355;0.25;6.0;61.18999021325817;89;4.19;0.25;8.921510813617614;7.0;13.0;7.0;13.0;0.25;-99;1.9946256828678257;31.022292966761974;0.010390877149102017;0.1;0.0010390877149102017
740150;4.0;0.8372845085474891;6.112835739485355;0.25;6.0;32.114866258181245;91;4.19;0.25;8.921510813617614;7.0;13.0;7.0;13.0;0.25;-99;1.4264412459067335;36.68408188733197;0.007430956030465927;0.1;0.0007430956030465927
740150;4.5;0.4553771287944969;6.112835739485355;0.25;6.0;26.616228926331182;24;4.19;0.25;8.921510813617614;7.0;13.0;7.0;13.0;0.25;-99;4.82233715607864;19.95151195535103;0.02512166237041458;0.1;0.002512166237041458
740150;5.0;0.7110630216104686;6.112835739485355;0.25;6.0;19.32624203741711;37;4.19;0.25;8.921510813617614;7.0;13.0;7.0;13.0;0.25;-99;1.977806555194501;31.153919421086083;0.010303258960431496;0.1;0.0010303258960431495
