;Beta values during inversion
0;-2.0
1;-2.1936890005085417
2;-2.3655836628778952
3;-2.5176804746827055
4;-2.6535909826516697
5;-2.771933052996381
6;-2.8731604441586667
7;-2.9583640091242325
8;-3.0272241075840087
9;-3.0821007918110768
10;-3.1261994904375827
11;-3.1615456430019995
12;-3.1897377102088917
13;-3.212132676337972
14;-3.2298524355882248
15;-3.2438007812206537
16;-3.254713491447009
17;-3.263190826552655
18;-3.269720595817337
19;-3.2746970072337804
20;-3.27843470170899
21;-3.2811826630506165
22;-3.283140491966159
23;-3.2844682893764032
24;-3.2852934943730756
