;Beta values during inversion
0;-3.0
1;-3.0431912863460786
2;-3.079854413836615
3;-3.111296432425102
4;-3.138220345142985
5;-3.16119314943108
6;-3.1806462195707828
7;-3.1967366436254916
8;-3.2099470027902055
9;-3.220716772434828
10;-3.2294967104603782
11;-3.2366225438482905
12;-3.24234639417166
13;-3.2468563301250786
14;-3.2502809967214006
15;-3.252701081485423
16;-3.2542021388010904
17;-3.255015057951828
