;Beta values during inversion
0;-2.0
1;-2.1526282077268335
2;-2.2877146424582606
3;-2.4045535836609377
4;-2.5106265379203547
5;-2.6047645859125774
6;-2.6866863991038477
7;-2.756882361321923
8;-2.81629659159742
9;-2.86625902439685
10;-2.908040477034627
11;-2.9428153067415113
12;-2.9716003471751056
13;-2.9948949962393967
14;-3.013636656891812
15;-3.0285039674372225
16;-3.040176868973319
17;-3.0492931937660464
18;-3.0563601818226633
19;-3.061783631111095
20;-3.0658882422288065
21;-3.068932039900157
22;-3.0711228098403964
23;-3.0726272125066427
24;-3.073577042163712
