;Beta values during inversion
0;-2.0
1;-2.175984119357243
2;-2.3327389141151733
3;-2.472672064476875
4;-2.599856168660015
5;-2.7130922250464446
6;-2.811799758977464
7;-2.8962862779895717
8;-2.967868057684875
9;-3.0263960677241304
10;-3.0734824413719593
11;-3.1116595159063416
12;-3.1424950043090196
13;-3.167256203588664
14;-3.1870378342884074
15;-3.202754382417305
16;-3.215165995175036
17;-3.22489668247229
18;-3.2324622379054104
19;-3.2382853767639648
20;-3.242708527105127
21;-3.246004923219359
22;-3.248394520461213
23;-3.250055096595553
24;-3.251128652109964
