;Beta values during inversion
0;-2.0
1;-2.1956996994585074
2;-2.370403687649455
3;-2.526850803735339
4;-2.666665398897857
5;-2.7886499214088354
6;-2.8931001954111872
7;-2.9806664703962156
8;-3.049154878649086
9;-3.10338640467795
10;-3.1465416512045126
11;-3.1807465482372392
12;-3.2077580163052195
13;-3.2290219894381997
14;-3.24568692450291
15;-3.258669592276204
16;-3.268710904691588
17;-3.276413374555002
18;-3.2822620559004987
19;-3.2866457749115248
20;-3.2898718228659494
21;-3.2921810478158906
22;-3.2937650964725074
23;-3.294776333927592
