;Beta values during inversion
0;-4.0
1;-3.6252197932874664
2;-3.5018477199658182
3;-3.4273784673082397
4;-3.379794082510787
5;-3.345987146236232
6;-3.318476040410632
7;-3.2960463926854855
8;-3.277735063614126
9;-3.2627372644310744
10;-3.2503858012077123
11;-3.2401896962007424
12;-3.23181994658273
13;-3.224981097655476
14;-3.2194057724077747
15;-3.2148703874895634
16;-3.2111881840419625
17;-3.2082015836728255
18;-3.2057771023416595
19;-3.2038094418043515
20;-3.202237178849168
21;-3.2010208886435336
