;Beta values during inversion
0;-4.0
1;-3.6365850641543713
2;-3.5130284343999336
3;-3.439122061387904
4;-3.3915253354195416
5;-3.3593189628530893
6;-3.333072113474172
7;-3.311660813924961
8;-3.2941756755072222
9;-3.279849086098297
10;-3.2680345803646973
11;-3.2582429598271068
12;-3.2501721957809706
13;-3.243571985488615
14;-3.23819256273039
15;-3.2338208625912515
16;-3.2302797165283472
17;-3.2274210994497965
18;-3.2251201970581502
19;-3.223270711557612
20;-3.221784544618148
21;-3.2206021041051693
