;Beta values during inversion
0;-2.0
1;-2.1988774914221993
2;-2.3752074197805664
3;-2.5321014368065504
4;-2.6713462561979466
5;-2.791766585685392
6;-2.894077407775449
7;-2.979227022914332
8;-3.0453205377914965
9;-3.0973834796643778
10;-3.1386153435316704
11;-3.1711386490357785
12;-3.19669206967077
13;-3.216698077395778
14;-3.2322801566496833
15;-3.2443393121450783
16;-3.2536012488161377
17;-3.2606527132923415
18;-3.265963650327502
19;-3.2699083130066957
20;-3.2727800143482604
21;-3.2748076167756124
22;-3.276172356535174
23;-3.277017122358931
