;Beta values during inversion
0;-2.0
1;-2.198713113998656
2;-2.3746825278963737
3;-2.531177567276926
4;-2.670105858147005
5;-2.7903339330916705
6;-2.8923837613815695
7;-2.9771549313885877
8;-3.0427389717411994
9;-3.0941062909651387
10;-3.1345832202587824
11;-3.1663467682910063
12;-3.1911674644746517
13;-3.2104884956761506
14;-3.225452542923752
15;-3.236963515591647
16;-3.2457458345679076
17;-3.2523801870980305
18;-3.257328039738175
19;-3.2609550578131006
20;-3.2635501501983644
21;-3.2653408210152817
22;-3.2665055849967595
