;Beta values during inversion
0;-4.0
1;-3.496394517267296
2;-3.375646378509893
3;-3.3022784365110813
4;-3.243388373718381
5;-3.1963500351193113
6;-3.158163632185151
7;-3.1270490557980493
8;-3.101583080763921
9;-3.080638846958394
10;-3.0634190267802484
11;-3.0493306557977697
12;-3.0378287118108416
13;-3.028448997379722
14;-3.0208108264759024
15;-3.01460145388671
16;-3.009572489955793
17;-3.0055152745168687
18;-3.002256631713583
19;-2.999652581222815
20;-2.99758322899059
21;-2.995948614021745
22;-2.9946653083588317
