;Beta values during inversion
0;-2.0
1;-2.194581691218425
2;-2.368815923087944
3;-2.525099728014421
4;-2.665027635887287
5;-2.787389638513208
6;-2.8924570413733988
7;-2.9808551303874955
8;-3.050428468167019
9;-3.105786615206169
10;-3.1500360599581287
11;-3.185268934876025
12;-3.213224839484709
13;-3.235342471773076
14;-3.252771748122866
15;-3.2664297217463676
16;-3.277060511271032
17;-3.285271081220432
18;-3.29155269897808
19;-3.2963011328219745
20;-3.2998313133781925
21;-3.3023913710290755
22;-3.3041796346062524
23;-3.3053548562493935
