;Beta values during inversion
0;-2.0
1;-2.1922900979111755
2;-2.3641330132155187
3;-2.51765654940362
4;-2.654987098757829
5;-2.7749003854313345
6;-2.8776753783375435
7;-2.9641854169806825
8;-3.032743247833947
9;-3.086952680751621
10;-3.1301681746848757
11;-3.1645028317188086
12;-3.1916628014776864
13;-3.213064017483082
14;-3.229850850182994
15;-3.242941651146148
16;-3.2530782975837225
17;-3.2608639622244953
18;-3.266785015604221
19;-3.2712316120389566
20;-3.274512358134051
21;-3.2768693622237457
22;-3.278495306589185
23;-3.279543389026307
