;Beta values during inversion
0;-4.0
1;-3.6352371084669532
2;-3.511939332039298
3;-3.4381382393162085
4;-3.3906818124974505
5;-3.358482148125665
6;-3.332254761630614
7;-3.3108712783124292
8;-3.293419666639707
9;-3.279130657973993
10;-3.2673564135451003
11;-3.2576075996912253
12;-3.249582160232186
13;-3.2430272309943926
14;-3.237691953903458
15;-3.2333629675334645
16;-3.2298629590064913
17;-3.2270438895427107
18;-3.2247810623476094
19;-3.2229682973106883
20;-3.22151687476438
21;-3.220364854815847
