;Beta values during inversion
0;-2.0
1;-2.1794299603282483
2;-2.338160029169945
3;-2.4791056575999324
4;-2.606435391953481
5;-2.718716200752245
6;-2.8159964766996457
7;-2.8985295538904827
8;-2.9678759791400102
9;-3.0239128613900648
10;-3.0685062813085993
11;-3.1042912020857565
12;-3.1328837627519897
13;-3.1555799367196733
14;-3.1734871131598092
15;-3.1875276490711903
16;-3.198456830825161
17;-3.2068923243043876
18;-3.2133384229697173
19;-3.218203629380037
20;-3.221813812065142
21;-3.2244258432530843
22;-3.22624455874631
23;-3.2274327978376838
24;-3.228117923633132
