;Beta values during inversion
0;-2.0
1;-2.1726272931106885
2;-2.326599774671291
3;-2.463851542438967
4;-2.5885769657617117
5;-2.699644463589323
6;-2.7965093637941187
7;-2.8795196039766564
8;-2.9496869796295146
9;-3.0084012096674897
10;-3.0554363084996945
11;-3.093596885368343
12;-3.124473341314476
13;-3.149313279917737
14;-3.1691859435895884
15;-3.1849939390557247
16;-3.1974940745115843
17;-3.20730882841843
18;-3.2149526130039865
19;-3.220847411076975
20;-3.225335171004559
21;-3.228688938064979
22;-3.2311284663237605
23;-3.2328309851746733
24;-3.233937372600605
