;Beta values during inversion
0;-2.0
1;-2.197045749387921
2;-2.372244372953369
3;-2.528604484286893
4;-2.6678960987492157
5;-2.788963432550298
6;-2.8922038928051905
7;-2.978389877620931
8;-3.0454884046975446
9;-3.0983222863815416
10;-3.1401568958619523
11;-3.1731498548810495
12;-3.199069313043198
13;-3.2193633192872353
14;-3.235181052761535
15;-3.2474344122717698
16;-3.25685378170827
17;-3.2640287435497513
18;-3.2694301678882156
19;-3.2734332507651347
20;-3.276336249279801
21;-3.278375618939155
22;-3.2797382484259234
23;-3.280571346681357
