;Beta values during inversion
0;-4.0
1;-3.578824333081196
2;-3.4316574738041097
3;-3.354193115342083
4;-3.3002296654632395
5;-3.256754335526976
6;-3.221172157424463
7;-3.1918848382701794
8;-3.1676044510126884
9;-3.14739273581731
10;-3.1306262085103183
11;-3.116725656900509
12;-3.105184363885368
13;-3.0956741807838126
14;-3.087931430928594
15;-3.081667616983121
16;-3.0766228600028374
17;-3.0725706856175115
18;-3.0693155270519386
19;-3.066703738615433
20;-3.0646229950226584
21;-3.0629828792003475
22;-3.06170785018674
