;Beta values during inversion
0;-2.0
1;-2.177572355441607
2;-2.3350460890724256
3;-2.475084888835697
4;-2.601920295088047
5;-2.7143811797369346
6;-2.8119584631473105
7;-2.8950683865711997
8;-2.96523316694799
9;-3.0223583333886763
10;-3.068019725164926
11;-3.104828226720183
12;-3.1343887831149835
13;-3.1579832735166455
14;-3.1767112618029434
15;-3.1914920871816737
16;-3.2030797437376606
17;-3.2120905467899354
18;-3.219028907859425
19;-3.224304938627117
20;-3.228250715461414
21;-3.23113400989012
22;-3.2331696659096503
23;-3.234528900108135
24;-3.235346714392261
