;Beta values during inversion
0;-2.0
1;-2.205675623013343
2;-2.387973669136523
3;-2.5513493149427875
4;-2.6961001956966477
5;-2.8221694674130013
6;-2.929809599129934
7;-3.0181503566646044
8;-3.085860492015618
9;-3.139653325536525
10;-3.1823634837017662
11;-3.2161764959341155
12;-3.2429080706966116
13;-3.264003590657081
14;-3.28060101650323
15;-3.2935984171173285
16;-3.3037064524605286
17;-3.3115067385845625
18;-3.317465527798019
19;-3.321956593219424
20;-3.3252796070690125
21;-3.3276748346395753
22;-3.329334725921741
23;-3.3304131343190737
