;Beta values during inversion
0;-4.0
1;-3.5787005294625316
2;-3.4315363015050733
3;-3.3541192814298695
4;-3.300192771923116
5;-3.256758804400743
6;-3.2212081446438345
7;-3.1919367361684965
8;-3.167668823566353
9;-3.147468976827334
10;-3.1307132002173703
11;-3.1168214988436307
12;-3.1052867636711583
13;-3.0957805331079196
14;-3.088038776979675
15;-3.0817726866955892
16;-3.076722126851159
17;-3.072660372172605
18;-3.0693920441080187
19;-3.066764262656826
20;-3.064664572898726
21;-3.0630014681092037
22;-3.0616978347629726
