;Beta values during inversion
0;-2.0
1;-2.1746030402278076
2;-2.330481022210911
3;-2.4698083747795185
4;-2.5965809984688724
5;-2.7096378097085894
6;-2.8083817589708464
7;-2.8931079316619064
8;-2.96508976188809
9;-3.0242744949278837
10;-3.072036554758354
11;-3.110865298321367
12;-3.142318220351215
13;-3.1676499914070377
14;-3.1879485447538864
15;-3.20412455412498
16;-3.216938364584654
17;-3.227015476169558
18;-3.2348745336156655
19;-3.2409421389990842
20;-3.245565447725117
21;-3.2490226942828806
22;-3.251538530427465
23;-3.253295301964978
24;-3.2544394219904054
