;Beta values during inversion
0;-2.0
1;-2.1748095453732175
2;-2.3307758180615523
3;-2.470172840290204
4;-2.5969693998861714
5;-2.710021507652119
6;-2.80875203648054
7;-2.8934689773901843
8;-2.9654483127812346
9;-3.0246359735647776
10;-3.0724233952163917
11;-3.111285895050566
12;-3.1427749702547336
13;-3.168142575089441
14;-3.1884748455684755
15;-3.2046809801754823
16;-3.2175203631863996
17;-3.2276180123390024
18;-3.2354924348308636
19;-3.241570229227229
20;-3.2461988210584862
21;-3.2496569224299416
22;-3.252169737646243
23;-3.2539201992418465
24;-3.2550553196246903
