;Beta values during inversion
0;-2.0
1;-2.1778823976198143
2;-2.335677130351874
3;-2.4760596833285966
4;-2.6032095260095294
5;-2.7159647628500663
6;-2.8138341760945607
7;-2.897236590303039
8;-2.9676024382316117
9;-3.0248522953221513
10;-3.07070656786478
11;-3.107739643478135
12;-3.1375330025926007
13;-3.1613592357958096
14;-3.1803088028466946
15;-3.1952930130700556
16;-3.20706487626878
17;-3.2162399976567664
18;-3.2233230743841887
19;-3.2287250181873484
20;-3.2327790705006185
21;-3.2357543795810986
22;-3.2378672665520494
23;-3.2392904459969323
24;-3.240160407265445
