EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
640001;3.5;0.75888847551028;7.999999998575161;0.25;7.5;112.98588536070258;117;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;1.7363772402778561;41.85072715336705;0.007422280035684721;0.07692307692307693;0.0005709446181295939
640001;4.0;0.7466429555514904;7.999999998575161;0.25;7.5;84.51383899134498;175;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;1.7938001503646988;41.1754185524533;0.007667738746638735;0.07692307692307693;0.0005898260574337488
640001;4.5;0.5896763606323197;7.999999998575161;0.25;7.5;53.44474981195736;187;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;2.875891944716045;32.5191187822688;0.012293224577532852;0.07692307692307693;0.0009456326598102194
640001;5.0;0.6929776596608875;7.999999998575161;0.25;7.5;45.3434007674415;146;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;2.0823874227764905;38.21591695452462;0.008901327566446111;0.07692307692307693;0.0006847175051112393
640001;5.5;0.6641406945582081;7.999999998575161;0.25;7.5;33.89907114396737;87;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;2.267147707993542;36.62563327333957;0.009691099825920379;0.07692307692307693;0.0007454692173784908
640001;6.0;0.6355362449743679;7.999999998575161;0.25;7.5;27.23905822697766;88;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;2.475821629326551;35.04817221873521;0.010583092789402318;0.07692307692307693;0.0008140840607232553
640001;6.5;0.5459016161211421;7.999999998575161;0.25;7.5;21.577181000593825;36;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;3.35560814561321;30.105055388416627;0.014343808919529745;0.07692307692307693;0.0011033699168869035
640001;7.0;0.5966993788969933;7.999999998575161;0.25;7.5;8.82551608219391;30;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;2.808593124978479;32.906419987482565;0.012005550519974166;0.07692307692307693;0.000923503886151859
640001;7.5;0.5020458146424487;7.999999998575161;0.25;7.5;6.800606549156702;2;5.14;0.25;5.564321798149784;2.0;7.0;2.0;7.0;0.25;-99;3.9674667724657815;27.68652191346446;0.01695924637482753;0.07692307692307693;0.0013045574134482717
740150;3.0;0.5706612440568947;6.119572576571589;0.25;6.0;83.08090352257744;190;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;3.0707413866315525;31.470484521414484;0.013126123724760994;0.07692307692307693;0.001009701824981615
740150;3.5;0.7080587542157143;6.119572576571589;0.25;6.0;61.18999021325817;89;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;1.9946256828678257;39.04760012505082;0.008526183159510207;0.07692307692307693;0.0006558602430392467
740150;4.0;0.8372845085474891;6.119572576571589;0.25;6.0;32.114866258181245;91;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;1.4264412459067335;46.17406463235627;0.006097434437620582;0.07692307692307693;0.00046903341827850633
740150;4.5;0.4553771287944969;6.119572576571589;0.25;6.0;26.616228926331182;24;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;4.82233715607864;25.11286517593719;0.020613456551167156;0.07692307692307693;0.0015856505039359352
740150;5.0;0.7110630216104686;6.119572576571589;0.25;6.0;19.32624203741711;37;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;1.977806555194501;39.21327766409776;0.008454288485558265;0.07692307692307693;0.0006503298835044819
740150;5.5;0.740572010931202;6.119572576571589;0.25;6.0;12.74255155227191;12;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;1.8233305609838164;40.84062173438849;0.0077939687916425355;0.07692307692307693;0.0005995360608955797
740150;6.0;0.5621746655328201;6.119572576571589;0.25;6.0;3.2489267326763716;3;4.19;0.25;8.900384993858975;7.0;13.0;7.0;13.0;0.25;-99;3.1641528860144263;31.002471771533344;0.013525418469526212;0.07692307692307693;0.0010404168053481703
740153;3.0;0.4663344626349441;7.348875322077247;0.25;7.0;80.79253660776398;221;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;4.598381265003581;25.71713366028407;0.019656139615283803;0.07692307692307693;0.0015120107396372157
740153;3.5;0.4593666826994864;7.348875322077247;0.25;7.0;67.89273416510218;78;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;4.738937856710139;25.33287870536798;0.020256959736803325;0.07692307692307693;0.0015582276720617944
740153;4.0;0.44305044942478555;7.348875322077247;0.25;7.0;39.54963058127123;126;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;5.094406984294661;24.43308084443585;0.021776440266593422;0.07692307692307693;0.0016751107897379556
740153;4.5;0.38698330208899157;7.348875322077247;0.25;7.0;26.490427326371915;31;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;6.677525387089888;21.341123381463202;0.028543603439794077;0.07692307692307693;0.002195661803061083
740153;5.0;0.6928444294814045;7.348875322077247;0.25;7.0;18.28865382234031;43;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;2.083188363111939;38.20856965637731;0.008904751248422398;0.07692307692307693;0.0006849808652632614
740153;5.5;0.7425141517306686;7.348875322077247;0.25;7.0;12.339375413743902;24;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;1.8138047264110029;40.94772575206019;0.007753249868281322;0.07692307692307693;0.0005964038360216402
740153;6.0;0.9403802636180291;7.348875322077247;0.25;7.0;7.153068834971498;15;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;1.130818717921183;51.85952758951391;0.004833772868770092;0.07692307692307693;0.00037182868221308403
740153;6.5;0.355;7.348875322077247;0.25;7.0;5.1544554451726095;4;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;7.934933544931561;19.577327392480672;0.033918492749655055;0.07692307692307693;0.0026091148268965426
740153;7.0;0.5623412096685837;7.348875322077247;0.25;7.0;1.9677057808479916;3;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;3.1622789594220326;31.011656247790082;0.013517408224049348;0.07692307692307693;0.0010398006326191808
560053;3.5;0.4534624719160444;5.579942339250995;0.25;5.5;82.01108507441262;192;4.34;0.25;12.9999999987;9.5;13.0;9.5;13.0;0.25;-99;4.863145884940654;25.007276825081615;0.020787896647759145;0.07692307692307693;0.0015990689729045496
560053;4.0;0.7607844667697634;5.579942339250995;0.25;5.5;45.09039474661982;173;4.34;0.25;12.9999999987;9.5;13.0;9.5;13.0;0.25;-99;1.7277333892632631;41.95528614384645;0.007385331219880858;0.07692307692307693;0.0005681024015292968
560053;4.5;0.46563024444100043;5.579942339250995;0.25;5.5;16.989412277446025;13;4.34;0.25;12.9999999987;9.5;13.0;9.5;13.0;0.25;-99;4.612300947239895;25.67829785707681;0.019715640383417075;0.07692307692307693;0.0015165877218013136
560053;5.0;0.7203094161545229;5.579942339250995;0.25;5.5;9.2924051265201;7;4.34;0.25;12.9999999987;9.5;13.0;9.5;13.0;0.25;-99;1.9273554483140538;39.723192292799155;0.00823863129155069;0.07692307692307693;0.0006337408685808223
560053;5.5;0.6518098344182031;5.579942339250995;0.25;5.5;3.4307291697589375;2;4.34;0.25;12.9999999987;9.5;13.0;9.5;13.0;0.25;-99;2.3537383447584963;35.94561838322191;0.010061238261065326;0.07692307692307693;0.0007739414046973328
880077;3.0;0.5774557901834861;6.510009139858745;0.25;6.5;141.11752849260998;1016;4.77;0.25;10.921177802055949;9.5;12.5;9.5;12.5;0.25;-99;2.99890369422733;31.84518608198799;0.012819047901735233;0.07692307692307693;0.0009860806078257872
