;Beta values during inversion
0;-2.0
1;-2.202997328166672
2;-2.3734416100023266
3;-2.5216663255776086
4;-2.65292024511597
5;-2.7662945545916804
6;-2.8621134473160206
7;-2.9419424393918923
8;-3.0053956835372326
9;-3.0529982313248563
10;-3.0896564666219897
11;-3.1178411516428115
12;-3.1393596886926436
13;-3.155637919154384
14;-3.167819561052754
15;-3.1768232585538927
16;-3.183376470615608
17;-3.188049953506026
18;-3.1912894894888924
19;-3.193440886344393
20;-3.1947704166452295
21;-3.195481426612715
