;Beta values during inversion
0;-2.0
1;-2.178354167600068
2;-2.3367716856534275
3;-2.477897721684631
4;-2.6057919968427212
5;-2.7192241902975964
6;-2.817672523304224
7;-2.9015224562665667
8;-2.9722569910110743
9;-3.029546045636903
10;-3.0754009793397543
11;-3.11237408666344
12;-3.142053939335168
13;-3.1657326835841264
14;-3.184520834258665
15;-3.1993448626282057
16;-3.2109630406772895
17;-3.2199967461481926
18;-3.226956412388607
19;-3.2322579587963776
20;-3.236235705227362
21;-3.239154776134239
22;-3.2412277184254545
23;-3.2426251285371337
24;-3.2434822134277277
