;Beta values during inversion
0;-2.0
1;-2.1789445431006524
2;-2.3370326606099114
3;-2.477210721679294
4;-2.6037740067361104
5;-2.7156028753733508
6;-2.812275813446903
7;-2.894314208172122
8;-2.9632560287752487
9;-3.0192293816336715
10;-3.0638120085668423
11;-3.09964583215397
12;-3.1283413471617574
13;-3.1511752791648013
14;-3.169232424793219
15;-3.183422401289769
16;-3.194494641617067
17;-3.20306094949993
18;-3.2096197854709287
19;-3.214574854559528
20;-3.218251653414049
21;-3.220911377941087
22;-3.2227623692966523
23;-3.223969396227308
24;-3.224660891058315
