;Beta values during inversion
0;-4.0
1;-3.6421924361758755
2;-3.5167619382807302
3;-3.4416770859263135
4;-3.393036764654208
5;-3.360184027922451
6;-3.333374501661263
7;-3.311474952909145
8;-3.293565996467504
9;-3.2788705967666347
10;-3.2667349892608044
11;-3.2566612608211014
12;-3.248338578713813
13;-3.2415150903552266
14;-3.2359379133317345
15;-3.2313897207647893
16;-3.2276891296255843
17;-3.224683672709072
18;-3.2222441155950885
19;-3.220263556889837
20;-3.2186677889982347
21;-3.2174140210174658
