;Beta values during inversion
0;-4.0
1;-3.589669776549311
2;-3.443188706836321
3;-3.3649850798930325
4;-3.3130233457917244
5;-3.2713456772182883
6;-3.237414664375924
7;-3.209636583820114
8;-3.186733705619305
9;-3.1677484693556974
10;-3.152055586073115
11;-3.1391025341443126
12;-3.1283437976075965
13;-3.1193814281038006
14;-3.1119879132958226
15;-3.1059494701849437
16;-3.101039997524796
17;-3.0970672866768765
18;-3.0938717117442653
19;-3.0913205195737654
20;-3.08930322165388
21;-3.087727806770306
22;-3.0865176237489482
