;Beta values during inversion
0;-2.0
1;-2.1775691750969743
2;-2.3238370532755326
3;-2.44723740136709
4;-2.5576024411339198
5;-2.655215938404378
6;-2.740387275380148
7;-2.8136253636867607
8;-2.8758635625525906
9;-2.9282564841333207
10;-2.9717278411369072
11;-3.0069382028900598
12;-3.0346736418933014
13;-3.0566746900600985
14;-3.0740605035807
15;-3.087697750417359
16;-3.09829778030491
17;-3.1064475429444025
18;-3.1126285970187486
19;-3.117232521972559
20;-3.1205686856236587
21;-3.1228748415154026
22;-3.124332284266522
23;-3.12506593329091
