;Beta values during inversion
0;-2.0
1;-2.1691516231652748
2;-2.3101370676926614
3;-2.430094064525297
4;-2.53806046957111
5;-2.633757689774382
6;-2.717403387966125
7;-2.7894502405233235
8;-2.8507275600860176
9;-2.9022411124727254
10;-2.945219598717318
11;-2.980662308275989
12;-3.0089276445424344
13;-3.0313717419725417
14;-3.049066354914754
15;-3.062955574460603
16;-3.073770721361028
17;-3.0820993927732974
18;-3.088418438699976
19;-3.093111433412635
20;-3.096483567679997
21;-3.098770726213735
22;-3.100145234412352
23;-3.100719036864799
