;Beta values during inversion
0;-2.0
1;-2.200221143194197
2;-2.377971765584103
3;-2.5364450583114344
4;-2.677244227586793
5;-2.7991890952450253
6;-2.902839321089893
7;-2.9888666410106044
8;-3.0551441105002297
9;-3.1074196689990927
10;-3.1487514600654705
11;-3.181306212736918
12;-3.206858341223303
13;-3.2268481769240895
14;-3.242407997819001
15;-3.2544425313752017
16;-3.263680007354519
17;-3.2707088886555837
18;-3.2760000830353393
19;-3.279928290458592
20;-3.2827868905558333
21;-3.2848044784613966
22;-3.2861619691160033
23;-3.287001931131558
