;Beta values during inversion
0;-2.0
1;-2.1990759526293355
2;-2.375599136343906
3;-2.5326754844175654
4;-2.672066191726987
5;-2.7925837516373644
6;-2.894944197082849
7;-2.9800814194977425
8;-3.0460875440412556
9;-3.0980628843295457
10;-3.139202403514578
11;-3.1716334820138625
12;-3.197098989214132
13;-3.217023433622779
14;-3.232530974387265
15;-3.2445230256640274
16;-3.253725409322574
17;-3.260724606318142
18;-3.2659902499677873
19;-3.2698960525888885
20;-3.27273465688387
21;-3.274734274244074
22;-3.2760755142786433
23;-3.2769006638742253
