;Beta values during inversion
0;-2.0
1;-2.1763410370372562
2;-2.332674101649275
3;-2.471130737564424
4;-2.596575293771003
5;-2.7083906585873967
6;-2.805891107422022
7;-2.8895605850551864
8;-2.9606965984988998
9;-3.0194388454623597
10;-3.0669261718865126
11;-3.105581968247643
12;-3.1369458170735083
13;-3.162249948286743
14;-3.1825613271038993
15;-3.198776925013027
16;-3.211647974851539
17;-3.221793392615682
18;-3.22972678138606
19;-3.235871077327612
20;-3.240570749714497
21;-3.2441022927834373
22;-3.246689328433353
23;-3.248513475494219
24;-3.2497206000835823
25;-3.250426167444051
