;Beta values during inversion
0;-2.0
1;-2.1953345622752143
2;-2.368942692923264
3;-2.523074722478179
4;-2.6608511540425996
5;-2.78117245515181
6;-2.8842941288087767
7;-2.9711900785505816
8;-3.0401661096440518
9;-3.0950810150460764
10;-3.139060224934305
11;-3.174152912969002
12;-3.2020511845387647
13;-3.2241642280444847
14;-3.2416242107214908
15;-3.255338302273436
16;-3.2660435294877375
17;-3.274340881964912
18;-3.2807171404759607
19;-3.2855646361508652
20;-3.2891956373434565
21;-3.2918564822462186
22;-3.2937442088223
23;-3.295016563168566
24;-3.2957988251417762
