;Beta values during inversion
0;-2.0
1;-2.1988794839798436
2;-2.3750307995022033
3;-2.5317187401332726
4;-2.6708349020279
5;-2.7912687260003164
6;-2.8935556869060695
7;-2.978575404295503
8;-3.0443108922352886
9;-3.095902937401689
10;-3.1366381095684193
11;-3.168672711682988
12;-3.1937642742634718
13;-3.2133464465965225
14;-3.228546621901836
15;-3.2402676632819607
16;-3.249233876704054
17;-3.256027028556067
18;-3.2611101675496483
19;-3.2648508120082735
20;-3.2675398176393142
21;-3.2694065857360894
22;-3.270631327425422
23;-3.2713549251802463
