EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
640001;3.5;0.75888847551028;7.996812500272635;0.25;7.5;112.98588536070258;117;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;1.7363772402778561;86.20452077816833;0.00403702250932456;0.03333333333333333;0.00013456741697748535
640001;4.0;0.7466429555514904;7.996812500272635;0.25;7.5;84.51383899134498;175;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;1.7938001503646988;84.81351378070781;0.004170528970474908;0.03333333333333333;0.00013901763234916358
640001;4.5;0.5896763606323197;7.996812500272635;0.25;7.5;53.44474981195736;187;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;2.875891944716045;66.98318622949611;0.0066863583822061685;0.03333333333333333;0.0002228786127402056
640001;5.0;0.6929776596608875;7.996812500272635;0.25;7.5;45.3434007674415;146;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;2.0823874227764905;78.71750459891419;0.00484148530853688;0.03333333333333333;0.00016138284361789598
640001;5.5;0.6641406945582081;7.996812500272635;0.25;7.5;33.89907114396737;87;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;2.267147707993542;75.44182333929074;0.005271047164652378;0.03333333333333333;0.00017570157215507926
640001;6.0;0.6355362449743679;7.996812500272635;0.25;7.5;27.23905822697766;88;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;2.475821629326551;72.1925542463055;0.005756207473132104;0.03333333333333333;0.0001918735824377368
640001;6.5;0.5459016161211421;7.996812500272635;0.25;7.5;21.577181000593825;36;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;3.35560814561321;62.010675782245684;0.007801683471816084;0.03333333333333333;0.00026005611572720277
640001;7.0;0.5966993788969933;7.996812500272635;0.25;7.5;8.82551608219391;30;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;2.808593124978479;67.78095288884015;0.0065298907415176416;0.03333333333333333;0.0002176630247172547
640001;7.5;0.5020458146424487;7.996812500272635;0.25;7.5;6.800606549156702;2;5.14;0.25;5.769414250433073;2.0;7.0;2.0;7.0;0.25;-99;3.9674667724657815;57.02895781997042;0.009224235548537029;0.03333333333333333;0.0003074745182845676
740150;3.0;0.5706612440568947;6.1134182234354615;0.25;6.0;83.08090352257744;190;4.19;0.25;9.193655787992009;7.0;13.0;7.0;13.0;0.25;-99;3.0707413866315525;64.82319953207877;0.00713937721054347;0.03333333333333333;0.000237979240351449
740150;3.5;0.7080587542157143;6.1134182234354615;0.25;6.0;61.18999021325817;89;4.19;0.25;9.193655787992009;7.0;13.0;7.0;13.0;0.25;-99;1.9946256828678257;80.43061340325454;0.00463744202159995;0.03333333333333333;0.00015458140071999835
740150;4.0;0.8372845085474891;6.1134182234354615;0.25;6.0;32.114866258181245;91;4.19;0.25;9.193655787992009;7.0;13.0;7.0;13.0;0.25;-99;1.4264412459067335;95.1097719144936;0.0033164310636972887;0.03333333333333333;0.00011054770212324295
740150;4.5;0.4553771287944969;6.1134182234354615;0.25;6.0;26.616228926331182;24;4.19;0.25;9.193655787992009;7.0;13.0;7.0;13.0;0.25;-99;4.82233715607864;51.72771550480091;0.011211782321868254;0.03333333333333333;0.0003737260773956085
740150;5.0;0.7110630216104686;6.1134182234354615;0.25;6.0;19.32624203741711;37;4.19;0.25;9.193655787992009;7.0;13.0;7.0;13.0;0.25;-99;1.977806555194501;80.77187755393246;0.004598338078384506;0.03333333333333333;0.0001532779359461502
