;Beta values during inversion
0;-2.0
1;-2.1520417035969217
2;-2.2865360518192497
3;-2.402710590413802
4;-2.5081614012415665
5;-2.6013535883061496
6;-2.6825868198907745
7;-2.75237174208514
8;-2.811447530465452
9;-2.8610567606927337
10;-2.902479041274754
11;-2.9369017903465195
12;-2.9653666804595638
13;-2.988429320188271
14;-3.0070228517888897
15;-3.0218039985479463
16;-3.033393390663828
17;-3.0424137128254407
18;-3.0493857622118945
19;-3.0547192440345787
20;-3.058740126085198
21;-3.061707050767403
22;-3.0638278488461164
23;-3.065268603463316
24;-3.0661598958162677
