;Beta values during inversion
0;-2.0
1;-2.198582555505756
2;-2.3753573310745626
3;-2.53330289897194
4;-2.6739244367622392
5;-2.796041400314707
6;-2.900073423679798
7;-2.9866462091753156
8;-3.0536618037004915
9;-3.1065252756289192
10;-3.148318677527482
11;-3.1812274719056006
12;-3.2070438137065302
13;-3.227226759652326
14;-3.242931488933717
15;-3.2550745123893443
16;-3.2643905268984854
17;-3.2714737074608418
18;-3.2767996668438277
19;-3.280747116493574
20;-3.2836129941574104
21;-3.285628854570326
22;-3.2869781746582776
23;-3.287806000054816
