;Beta values during inversion
0;-2.0
1;-2.199377380866096
2;-2.37626145737769
3;-2.53383554515792
4;-2.673843005473332
5;-2.7951281202792058
6;-2.898207462167196
7;-2.9838352037396754
8;-3.0498773951071407
9;-3.101852793276568
10;-3.142889671106435
11;-3.1751638100144812
12;-3.200447498964372
13;-3.220182559840839
14;-3.2355026935837907
15;-3.2473153383830353
16;-3.256350412164282
17;-3.2631964957293587
18;-3.2683240115838466
19;-3.2721065477241806
20;-3.27483595393379
21;-3.276739284217975
22;-3.277995865160519
23;-3.27874664861987
