;Beta values during inversion
0;-2.0
1;-2.2074243760175287
2;-2.3798258280562665
3;-2.528180316637402
4;-2.6593420098543166
5;-2.7725154341990748
6;-2.867960295147427
7;-2.947468627331792
8;-3.010424811503655
9;-3.0580019904697884
10;-3.094813295243785
11;-3.1232352782545973
12;-3.145037081871775
13;-3.1616224991664272
14;-3.174121977202535
15;-3.1834431536058316
16;-3.1903046250519016
17;-3.1952717234296046
18;-3.1987871971867334
19;-3.2011955936125536
20;-3.2027632255682996
21;-3.2036944228812883
