;Beta values during inversion
0;-2.0
1;-2.19928211532268
2;-2.3760178016719204
3;-2.5334121356418446
4;-2.6732254366958488
5;-2.7942778195833045
6;-2.8970761457171537
7;-2.9824006272194357
8;-3.048252958990931
9;-3.099911673160393
10;-3.140621997789646
11;-3.1725659087780933
12;-3.197527880735487
13;-3.2169592971738736
14;-3.232007981832248
15;-3.2435827861434015
16;-3.252413245027509
17;-3.2590861963330915
18;-3.264069813688115
19;-3.2677350487930616
20;-3.2703709442930977
21;-3.2722020180764675
22;-3.2734053910469463
23;-3.274120203748355
