;Beta values during inversion
0;-2.0
1;-2.1766882849865703
2;-2.3332475380013014
3;-2.4719070824909797
4;-2.5974992185630086
5;-2.709407309912171
6;-2.80695986476399
7;-2.8906510527848144
8;-2.9617837125954876
9;-3.0204721341967744
10;-3.0679155721562377
11;-3.106532348094505
12;-3.1378573215970693
13;-3.1631227825128905
14;-3.1833961898374348
15;-3.1995745795230293
16;-3.2124089437263974
17;-3.2225181134597376
18;-3.2304156897382024
19;-3.236524632160802
20;-3.2411894632369234
21;-3.244686789627032
22;-3.247240380655176
23;-3.2490320090002602
24;-3.250207698794445
