;Beta values during inversion
0;-2.0
1;-2.1765352442982686
2;-2.332950719122069
3;-2.4714770341180614
4;-2.596952369066222
5;-2.708770876465243
6;-2.806265955252792
7;-2.88993262375572
8;-2.961070961938076
9;-3.0198174326218683
10;-3.0673284868119843
11;-3.1060159850023066
12;-3.137413666165931
13;-3.1627511644646256
14;-3.1830938086447973
15;-3.199337235657747
16;-3.212231782489066
17;-3.2223959130450788
18;-3.2303431097798194
19;-3.2364962995083295
20;-3.2412002140101555
21;-3.24473180652341
22;-3.2473152281550046
23;-3.249132655928629
24;-3.250330536705298
25;-3.2510249300125644
