;Beta values during inversion
0;-2.0
1;-2.199443263740193
2;-2.3763536626311237
3;-2.533931609228189
4;-2.673923285094529
5;-2.795172263365571
6;-2.8981990059081078
7;-2.983762241682755
8;-3.049728713998807
9;-3.1016304213131978
10;-3.1425999869159167
11;-3.1748146397657
12;-3.200047079141634
13;-3.2197390680794213
14;-3.2350238606299895
15;-3.2468085557024544
16;-3.25582260348167
17;-3.2626539394800633
18;-3.267772298175251
19;-3.2715505514635552
20;-3.274279820519198
21;-3.276186491161768
22;-3.2774492877503336
23;-3.2782086116731484
