;Beta values during inversion
0;-4.0
1;-3.6608280522693994
2;-3.53314994602376
3;-3.4588796778898594
4;-3.4103528602259257
5;-3.378533042164645
6;-3.3542506212816305
7;-3.3347251683027768
8;-3.319006981175549
9;-3.3063118479867177
10;-3.296002788903872
11;-3.287590860364872
12;-3.2807266000067714
13;-3.2751789533756095
14;-3.270735413031407
15;-3.2671932204788705
16;-3.2643833574442223
17;-3.2621663858038272
18;-3.260426310878341
19;-3.2590659194309564
20;-3.258005366777094
