;Beta values during inversion
0;-2.0
1;-2.178630668335718
2;-2.336390353690833
3;-2.4762128741158524
4;-2.6024484069416056
5;-2.7139679238843413
6;-2.810331660746901
7;-2.8920592085585204
8;-2.960779266698489
9;-3.0166133666254438
10;-3.0609935194976514
11;-3.096591447662739
12;-3.1250436807642146
13;-3.147637173657403
14;-3.1654686152422298
15;-3.1794522659612037
16;-3.1903384542424655
17;-3.1987395969799315
18;-3.20515372998396
19;-3.209983521671408
20;-3.213553081466654
21;-3.216122006987143
22;-3.2178969349069724
23;-3.219040870727424
