;Beta values during inversion
0;-2.0
1;-2.1923357119221336
2;-2.364194105091334
3;-2.517714363732313
4;-2.6550275925047258
5;-2.774908217643526
6;-2.8776374948606893
7;-2.964092719140763
8;-3.032588457022798
9;-3.0867340441181943
10;-3.129890031394044
11;-3.164171378893707
12;-3.191284903683589
13;-3.212646622049592
14;-3.229400625140351
15;-3.2424650853638055
16;-3.2525814953538603
17;-3.260352543649217
18;-3.2662640490478005
19;-3.2707055727166607
20;-3.273985107540533
21;-3.2763441798353017
22;-3.2779749404094787
23;-3.279030100286446
