;Beta values during inversion
0;-4.0
1;-3.6374489166315667
2;-3.5137923873946972
3;-3.4398350991285884
4;-3.3921458760862984
5;-3.3599365982526805
6;-3.3336730973418462
7;-3.312236860104191
8;-3.29472187284812
9;-3.2803626773573225
10;-3.2685144116887996
11;-3.258688350220404
12;-3.250582554786419
13;-3.2439486111389977
14;-3.2385375592371637
15;-3.234136477643289
16;-3.2305682043397432
17;-3.2276846094779184
18;-3.225360681924939
19;-3.2234899373811094
20;-3.221984587455641
21;-3.2207863184921055
