;Beta values during inversion
0;-2.0
1;-2.2025747050794187
2;-2.3727356162856963
3;-2.5206841641190585
4;-2.651740462933588
5;-2.7649826569566103
6;-2.8607196217861883
7;-2.9405036941901335
8;-3.004018177213521
9;-3.051635193964918
10;-3.08830120569028
11;-3.1164973645200877
12;-3.138033318690346
13;-3.154335241808924
14;-3.1665462962560476
15;-3.175584638150127
16;-3.182177363829299
17;-3.1868945441693866
18;-3.1901811106580515
19;-3.1923819687780406
20;-3.1937624924845167
21;-3.1945251830458856
